ProdutoID,Nome_Produto,Categoria,Subcategoria,Marca,Custo_Unit,Preco_Lista,Ativo,Data_Lancamento
P000043,Produto P000043,Frios & Laticínios,Manteiga,ValeVerde,7.32,10.08,True,2024-12-18
P000044,Produto P000044,Bebidas,Energéticos,Nordic,17.27,23.8,True,2024-05-15
P000045,Produto P000045,Frios & Laticínios,Requeijão,Acme,8.42,14.55,True,2025-03-26
P000046,Produto P000046,Higiene,Desodorantes,Prime+,5.58,7.14,True,2024-01-25
P000047,Produto P000047,Frios & Laticínios,Iogurtes,EcoVida,8.37,12.93,True,2022-02-25
P000048,Produto P000048,Bebidas,Energéticos,Acme,7.11,12.03,False,2023-12-16
P000049,Produto P000049,Bebidas,Sucos,ValeVerde,5.74,7.64,False,2023-04-03
P000050,Produto P000050,Higiene,Fraldas,TopBrasil,11.14,16.77,True,2024-06-24
P000051,Produto P000051,Frios & Laticínios,Leite,Nordic,10.81,16.42,True,2022-10-09
P000052,Produto P000052,Bebidas,Cervejas,Prime+,13.46,21.78,True,2024-08-15
P000053,Produto P000053,Higiene,Fraldas,Prime+,5.85,8.26,True,2022-05-25
P000054,Produto P000054,Mercearia,Enlatados,EcoVida,16.38,28.44,True,2023-05-24
P000055,Produto P000055,Limpeza,Esponjas,Prime+,6.44,8.16,True,2022-10-20
P000056,Produto P000056,Mercearia,Massas,Acme,4.12,5.24,True,2022-02-28
P000057,Produto P000057,Mercearia,Molhos,Nordic,12.79,22.23,True,2024-12-04
P000058,Produto P000058,Bebidas,Águas,EcoVida,14.34,25.22,True,2024-02-19
P000059,Produto P000059,Frios & Laticínios,Leite,SulMax,12.41,18.09,True,2024-11-07
P000060,Produto P000060,Mercearia,Molhos,Nordic,5.1,6.77,True,2023-10-13
P000061,Produto P000061,Bebidas,Cervejas,Prime+,7.88,10.67,True,2024-07-11
P000062,Produto P000062,Bebidas,Energéticos,EcoVida,4.81,7.35,True,2022-06-30
P000063,Produto P000063,Frios & Laticínios,Requeijão,Nordic,6.07,8.37,True,2023-04-05
P000064,Produto P000064,Bebidas,Águas,ValeVerde,6.17,8.96,True,2024-09-26
P000065,Produto P000065,Bebidas,Águas,SulMax,5.19,7.2,True,2023-08-12
P000066,Produto P000066,Higiene,Desodorantes,Acme,3.13,5.47,True,2022-03-12
P000067,Produto P000067,Higiene,Pasta de dente,RioDoce,6.85,11.53,True,2022-01-26
P000068,Produto P000068,Mercearia,Massas,SulMax,12.84,21.92,True,2023-09-05
P000069,Produto P000069,Limpeza,Esponjas,RioDoce,5.75,8.86,True,2023-04-28
P000070,Produto P000070,Higiene,Fraldas,Prime+,6.43,10.19,True,2022-12-12
P000071,Produto P000071,Higiene,Sabonetes,RioDoce,8.79,11.68,True,2024-06-09
P000072,Produto P000072,Bebidas,Águas,Nordic,12.87,21.55,True,2022-06-03
P000073,Produto P000073,Limpeza,Esponjas,TopBrasil,16.55,21.12,True,2024-01-21
P000074,Produto P000074,Mercearia,Snacks,ValeVerde,4.45,7.57,True,2025-04-20
P000075,Produto P000075,Limpeza,Esponjas,Nordic,15.09,22.19,True,2024-04-24
P000076,Produto P000076,Mercearia,Snacks,Acme,4.49,7.64,True,2025-01-12
P000077,Produto P000077,Frios & Laticínios,Leite,Prime+,4.11,5.96,True,2022-02-14
P000078,Produto P000078,Mercearia,Molhos,SulMax,7.0,9.39,True,2025-06-24
P000079,Produto P000079,Limpeza,Detergentes,RioDoce,10.95,17.18,True,2022-01-03
P000080,Produto P000080,Mercearia,Snacks,RioDoce,12.33,20.25,False,2023-04-11
P000081,Produto P000081,Bebidas,Refrigerantes,TopBrasil,7.93,12.72,True,2024-11-20
P000082,Produto P000082,Frios & Laticínios,Queijos,Acme,3.04,4.12,True,2024-02-10
P000083,Produto P000083,Frios & Laticínios,Manteiga,Nordic,12.48,18.55,True,2022-07-11
P000084,Produto P000084,Bebidas,Refrigerantes,EcoVida,6.02,9.57,True,2024-02-20
P000085,Produto P000085,Bebidas,Sucos,EcoVida,4.75,8.3,True,2025-06-30
P000086,Produto P000086,Mercearia,Massas,Prime+,13.5,22.28,True,2022-12-30
P000087,Produto P000087,Mercearia,Enlatados,SulMax,7.99,13.18,True,2024-09-15
P000088,Produto P000088,Frios & Laticínios,Queijos,RioDoce,17.91,28.33,True,2023-09-04
P000089,Produto P000089,Higiene,Pasta de dente,SulMax,10.29,13.19,True,2022-04-05
P000090,Produto P000090,Bebidas,Refrigerantes,Acme,11.18,14.84,True,2022-05-15
P000091,Produto P000091,Bebidas,Cervejas,TopBrasil,11.02,15.48,True,2023-01-20
P000092,Produto P000092,Mercearia,Massas,Acme,10.45,18.17,True,2022-06-01
P000093,Produto P000093,Higiene,Pasta de dente,SulMax,9.51,14.77,True,2023-12-25
P000094,Produto P000094,Frios & Laticínios,Iogurtes,TopBrasil,5.76,7.35,True,2022-11-19
P000095,Produto P000095,Higiene,Fraldas,Prime+,8.87,12.77,True,2023-02-16
P000096,Produto P000096,Bebidas,Refrigerantes,RioDoce,4.39,7.85,True,2022-06-04
P000097,Produto P000097,Frios & Laticínios,Queijos,SulMax,7.35,11.08,True,2023-12-29
P000098,Produto P000098,Mercearia,Café/Chá,Nordic,16.01,22.15,True,2022-05-11
P000099,Produto P000099,Higiene,Pasta de dente,EcoVida,4.29,5.92,True,2022-02-08
P000100,Produto P000100,Limpeza,Lava-roupas,Prime+,14.66,22.63,True,2023-03-13
P000101,Produto P000101,Higiene,Desodorantes,Prime+,17.68,29.01,False,2023-01-13
P000102,Produto P000102,Mercearia,Snacks,EcoVida,8.35,10.77,True,2025-01-19
P000103,Produto P000103,Mercearia,Molhos,Acme,10.42,14.41,True,2022-09-17
P000104,Produto P000104,Mercearia,Massas,Acme,9.32,11.97,True,2024-01-30
P000105,Produto P000105,Higiene,Shampoo,EcoVida,7.32,12.37,True,2023-07-04
P000106,Produto P000106,Frios & Laticínios,Requeijão,Nordic,13.36,20.29,True,2022-12-17
P000107,Produto P000107,Higiene,Desodorantes,Prime+,4.62,7.59,True,2024-02-15
P000108,Produto P000108,Bebidas,Cervejas,SulMax,6.35,9.05,True,2024-11-05
P000109,Produto P000109,Frios & Laticínios,Iogurtes,TopBrasil,12.26,15.7,True,2024-01-27
P000110,Produto P000110,Higiene,Pasta de dente,EcoVida,7.76,10.9,True,2023-08-12
P000111,Produto P000111,Limpeza,Desinfetantes,EcoVida,9.45,13.26,True,2024-04-20
P000112,Produto P000112,Bebidas,Águas,RioDoce,24.49,30.65,True,2025-01-31
P000113,Produto P000113,Mercearia,Massas,Prime+,9.77,15.89,True,2025-02-16
P000114,Produto P000114,Higiene,Sabonetes,Acme,2.57,4.28,True,2022-01-24
P000115,Produto P000115,Higiene,Sabonetes,Nordic,7.37,12.16,True,2023-02-27
P000116,Produto P000116,Limpeza,Esponjas,TopBrasil,7.37,11.05,True,2023-10-10
P000117,Produto P000117,Higiene,Desodorantes,ValeVerde,3.04,4.1,True,2025-01-23
P000118,Produto P000118,Higiene,Shampoo,SulMax,18.63,25.74,True,2023-09-03
P000119,Produto P000119,Higiene,Pasta de dente,SulMax,4.14,7.28,True,2023-04-22
P000120,Produto P000120,Bebidas,Cervejas,Nordic,7.18,11.79,True,2025-05-13
P000121,Produto P000121,Bebidas,Águas,EcoVida,3.1,5.15,True,2024-02-01
P000122,Produto P000122,Mercearia,Massas,RioDoce,7.14,10.88,True,2024-02-17
P000123,Produto P000123,Limpeza,Esponjas,Acme,10.97,13.79,True,2022-01-17
P000124,Produto P000124,Bebidas,Energéticos,Prime+,9.5,12.55,True,2022-09-10
P000125,Produto P000125,Higiene,Shampoo,Acme,17.45,30.75,True,2022-01-10
P000126,Produto P000126,Mercearia,Café/Chá,Nordic,7.45,11.38,True,2023-03-23
P000127,Produto P000127,Mercearia,Massas,Acme,11.57,17.83,True,2024-05-13
P000128,Produto P000128,Mercearia,Enlatados,RioDoce,10.35,14.59,True,2022-06-07
P000129,Produto P000129,Frios & Laticínios,Leite,Nordic,7.43,10.22,True,2024-09-12
P000130,Produto P000130,Limpeza,Desinfetantes,RioDoce,13.07,22.81,True,2023-04-28
P000131,Produto P000131,Frios & Laticínios,Manteiga,TopBrasil,7.51,12.17,True,2023-07-15
P000132,Produto P000132,Mercearia,Enlatados,SulMax,17.46,29.89,False,2022-03-10
P000133,Produto P000133,Limpeza,Esponjas,Nordic,3.69,5.81,True,2025-01-14
P000134,Produto P000134,Higiene,Shampoo,Prime+,15.88,24.29,True,2024-09-13
P000135,Produto P000135,Mercearia,Massas,ValeVerde,8.67,13.44,True,2024-09-04
P000136,Produto P000136,Mercearia,Molhos,SulMax,11.12,18.8,True,2024-06-07
P000137,Produto P000137,Limpeza,Esponjas,EcoVida,8.82,14.67,True,2024-12-16
P000138,Produto P000138,Frios & Laticínios,Iogurtes,Nordic,7.69,10.41,True,2023-06-20
P000139,Produto P000139,Bebidas,Águas,EcoVida,15.6,20.14,True,2024-08-06
P000140,Produto P000140,Limpeza,Lava-roupas,ValeVerde,14.51,19.97,True,2024-07-21
P000141,Produto P000141,Frios & Laticínios,Requeijão,RioDoce,8.55,13.64,True,2022-01-05
P000142,Produto P000142,Mercearia,Enlatados,Nordic,13.25,17.93,True,2024-07-05
P000143,Produto P000143,Bebidas,Águas,TopBrasil,3.16,4.87,True,2023-01-05
P000144,Produto P000144,Limpeza,Lava-roupas,ValeVerde,6.54,11.51,True,2024-07-02
P000145,Produto P000145,Frios & Laticínios,Iogurtes,Nordic,3.92,6.02,True,2023-10-27
P000146,Produto P000146,Mercearia,Snacks,Prime+,9.93,14.98,True,2024-04-10
P000147,Produto P000147,Limpeza,Esponjas,Nordic,6.7,9.59,True,2024-04-28
P000148,Produto P000148,Frios & Laticínios,Iogurtes,TopBrasil,8.6,12.45,True,2023-11-03
P000149,Produto P000149,Bebidas,Cervejas,Prime+,6.49,8.4,True,2023-08-30
P000150,Produto P000150,Limpeza,Esponjas,Prime+,4.33,7.08,True,2022-03-06
P000151,Produto P000151,Higiene,Desodorantes,SulMax,12.38,17.24,True,2024-01-21
P000152,Produto P000152,Limpeza,Esponjas,ValeVerde,9.62,16.7,False,2024-06-26
P000153,Produto P000153,Frios & Laticínios,Queijos,Acme,9.35,14.59,True,2022-07-14
P000154,Produto P000154,Bebidas,Refrigerantes,SulMax,8.46,13.74,True,2025-01-20
P000155,Produto P000155,Mercearia,Enlatados,EcoVida,5.52,8.05,True,2024-03-18
P000156,Produto P000156,Bebidas,Águas,TopBrasil,8.04,12.96,True,2023-07-25
P000157,Produto P000157,Mercearia,Café/Chá,Prime+,3.93,6.58,True,2023-09-20
P000158,Produto P000158,Mercearia,Massas,TopBrasil,5.21,6.76,False,2024-07-01
P000159,Produto P000159,Limpeza,Esponjas,Prime+,16.01,21.85,True,2022-10-09
P000160,Produto P000160,Bebidas,Sucos,TopBrasil,7.61,10.65,True,2024-11-24
P000161,Produto P000161,Bebidas,Energéticos,ValeVerde,4.84,7.38,True,2025-04-06
P000162,Produto P000162,Bebidas,Cervejas,Acme,10.08,12.68,True,2023-08-02
P000163,Produto P000163,Bebidas,Sucos,EcoVida,3.2,4.01,True,2023-10-31
P000164,Produto P000164,Limpeza,Detergentes,Acme,24.45,36.57,True,2022-01-03
P000165,Produto P000165,Mercearia,Molhos,Acme,7.01,12.48,True,2022-04-14
P000166,Produto P000166,Higiene,Shampoo,EcoVida,8.35,11.79,True,2024-03-04
P000167,Produto P000167,Mercearia,Molhos,Acme,8.83,11.63,True,2023-04-06
P000168,Produto P000168,Higiene,Shampoo,Acme,3.84,5.65,False,2023-06-21
P000169,Produto P000169,Higiene,Pasta de dente,SulMax,14.88,19.0,True,2023-06-01
P000170,Produto P000170,Bebidas,Águas,Nordic,10.13,15.57,True,2024-12-24
P000171,Produto P000171,Frios & Laticínios,Manteiga,RioDoce,9.33,13.84,True,2022-05-10
P000172,Produto P000172,Higiene,Fraldas,SulMax,15.88,21.48,True,2024-04-28
P000173,Produto P000173,Frios & Laticínios,Queijos,SulMax,12.43,16.96,True,2024-04-12
P000174,Produto P000174,Limpeza,Desinfetantes,RioDoce,4.53,6.75,True,2025-02-27
P000175,Produto P000175,Frios & Laticínios,Requeijão,Nordic,9.21,12.1,True,2022-06-30
P000176,Produto P000176,Frios & Laticínios,Manteiga,RioDoce,9.31,15.74,True,2022-04-12
P000177,Produto P000177,Bebidas,Energéticos,TopBrasil,9.62,16.5,True,2024-11-04
P000178,Produto P000178,Mercearia,Café/Chá,SulMax,13.49,16.94,True,2023-11-01
P000179,Produto P000179,Bebidas,Cervejas,TopBrasil,2.42,3.38,True,2022-04-01
P000180,Produto P000180,Higiene,Pasta de dente,RioDoce,17.91,25.28,False,2023-06-07
P000181,Produto P000181,Higiene,Fraldas,EcoVida,5.86,8.75,False,2024-05-25
P000182,Produto P000182,Higiene,Sabonetes,EcoVida,4.66,5.83,True,2023-09-04
P000183,Produto P000183,Limpeza,Detergentes,Acme,8.31,10.48,True,2025-06-05
P000184,Produto P000184,Limpeza,Detergentes,EcoVida,10.24,16.8,True,2025-04-08
P000185,Produto P000185,Bebidas,Águas,Nordic,8.61,13.4,True,2024-09-15
P000186,Produto P000186,Bebidas,Refrigerantes,Nordic,10.05,12.93,True,2023-08-08
P000187,Produto P000187,Bebidas,Energéticos,Acme,10.07,15.54,False,2022-05-19
P000188,Produto P000188,Bebidas,Refrigerantes,Acme,9.8,15.99,True,2024-06-04
P000189,Produto P000189,Higiene,Sabonetes,ValeVerde,10.9,16.43,True,2024-02-19
P000190,Produto P000190,Higiene,Desodorantes,EcoVida,7.02,12.25,True,2022-01-04
P000191,Produto P000191,Limpeza,Detergentes,Nordic,7.43,10.59,True,2022-05-08
P000192,Produto P000192,Limpeza,Lava-roupas,Nordic,4.77,6.76,True,2023-07-02
P000193,Produto P000193,Bebidas,Águas,RioDoce,10.1,17.67,False,2023-10-14
P000194,Produto P000194,Higiene,Pasta de dente,Acme,9.09,12.71,True,2024-08-26
P000195,Produto P000195,Limpeza,Desinfetantes,ValeVerde,12.92,22.75,True,2023-03-18
P000196,Produto P000196,Limpeza,Amaciantes,EcoVida,12.36,19.12,True,2022-01-15
P000197,Produto P000197,Mercearia,Snacks,Prime+,7.72,12.42,True,2022-01-04
P000198,Produto P000198,Bebidas,Águas,RioDoce,7.56,12.74,True,2023-11-02
P000199,Produto P000199,Mercearia,Café/Chá,SulMax,7.29,9.2,True,2023-04-09
P000200,Produto P000200,Mercearia,Enlatados,ValeVerde,21.7,31.87,True,2022-08-24
P000201,Produto P000201,Limpeza,Esponjas,Nordic,7.92,11.72,True,2024-06-12
P000202,Produto P000202,Frios & Laticínios,Manteiga,TopBrasil,22.37,36.35,True,2025-07-16
P000203,Produto P000203,Bebidas,Águas,Acme,13.16,20.01,True,2023-12-08
P000204,Produto P000204,Bebidas,Refrigerantes,Acme,20.37,29.84,True,2022-07-11
P000205,Produto P000205,Limpeza,Lava-roupas,RioDoce,5.54,7.01,True,2022-01-21
P000206,Produto P000206,Bebidas,Águas,ValeVerde,6.71,11.17,True,2025-07-24
P000207,Produto P000207,Higiene,Pasta de dente,TopBrasil,16.33,26.16,True,2024-12-22
P000208,Produto P000208,Mercearia,Molhos,Acme,10.21,13.58,True,2025-03-14
P000209,Produto P000209,Mercearia,Snacks,SulMax,11.74,18.31,False,2025-01-01
P000210,Produto P000210,Limpeza,Amaciantes,Nordic,5.17,9.27,True,2025-04-21
P000211,Produto P000211,Bebidas,Energéticos,EcoVida,9.69,13.04,True,2024-11-11
P000212,Produto P000212,Frios & Laticínios,Iogurtes,RioDoce,16.94,23.39,True,2022-04-25
P000213,Produto P000213,Frios & Laticínios,Queijos,Nordic,9.51,16.7,True,2022-02-07
P000214,Produto P000214,Bebidas,Cervejas,Prime+,10.27,14.92,True,2025-03-26
P000215,Produto P000215,Bebidas,Energéticos,TopBrasil,10.55,16.4,True,2025-07-19
P000216,Produto P000216,Limpeza,Desinfetantes,SulMax,10.51,18.09,True,2022-05-16
P000217,Produto P000217,Limpeza,Desinfetantes,Prime+,7.65,13.5,True,2023-02-19
P000218,Produto P000218,Higiene,Sabonetes,SulMax,13.88,17.41,True,2023-05-12
P000219,Produto P000219,Mercearia,Massas,RioDoce,6.86,11.53,True,2023-09-22
P000220,Produto P000220,Limpeza,Detergentes,ValeVerde,9.81,15.42,False,2024-08-12
P000221,Produto P000221,Bebidas,Energéticos,Acme,11.9,16.09,True,2022-03-10
P000222,Produto P000222,Frios & Laticínios,Manteiga,Acme,8.83,14.04,True,2022-03-08
P000223,Produto P000223,Bebidas,Sucos,SulMax,1.5,1.92,True,2022-05-21
P000224,Produto P000224,Frios & Laticínios,Manteiga,Acme,5.28,8.82,True,2022-09-01
P000225,Produto P000225,Bebidas,Águas,Acme,14.8,24.3,True,2025-07-03
P000226,Produto P000226,Limpeza,Detergentes,EcoVida,6.19,9.95,True,2022-04-27
P000227,Produto P000227,Higiene,Pasta de dente,Nordic,8.83,15.89,True,2022-09-01
P000228,Produto P000228,Mercearia,Enlatados,ValeVerde,19.76,28.14,True,2024-06-23
P000229,Produto P000229,Mercearia,Snacks,Acme,14.35,19.42,True,2023-05-28
P000230,Produto P000230,Frios & Laticínios,Requeijão,Prime+,7.21,10.84,False,2022-10-31
P000231,Produto P000231,Limpeza,Esponjas,EcoVida,11.16,19.07,False,2024-03-23
P000232,Produto P000232,Limpeza,Desinfetantes,RioDoce,4.71,6.1,True,2023-09-06
P000233,Produto P000233,Mercearia,Snacks,ValeVerde,5.93,10.2,True,2025-07-11
P000234,Produto P000234,Higiene,Pasta de dente,TopBrasil,10.64,16.91,False,2024-01-03
P000235,Produto P000235,Limpeza,Detergentes,Acme,15.84,23.08,True,2022-06-01
P000236,Produto P000236,Mercearia,Massas,Nordic,16.41,24.9,True,2025-02-19
P000237,Produto P000237,Higiene,Fraldas,Prime+,7.06,12.21,False,2024-10-15
P000238,Produto P000238,Mercearia,Snacks,Prime+,6.52,8.81,True,2025-07-17
P000239,Produto P000239,Limpeza,Desinfetantes,Prime+,5.1,6.92,True,2023-10-29
P000240,Produto P000240,Frios & Laticínios,Iogurtes,Prime+,5.53,7.33,False,2022-01-06
P000241,Produto P000241,Higiene,Pasta de dente,Prime+,12.24,18.73,True,2024-06-12
P000242,Produto P000242,Frios & Laticínios,Iogurtes,RioDoce,17.45,24.67,True,2022-09-24
P000243,Produto P000243,Mercearia,Enlatados,Acme,5.23,8.37,True,2023-06-11
P000244,Produto P000244,Frios & Laticínios,Queijos,Prime+,20.58,36.43,True,2022-08-10
P000245,Produto P000245,Higiene,Desodorantes,Prime+,9.09,13.25,True,2025-07-13
P000246,Produto P000246,Limpeza,Esponjas,ValeVerde,10.37,15.3,True,2025-07-08
P000247,Produto P000247,Frios & Laticínios,Iogurtes,Acme,14.57,18.82,True,2023-03-25
P000248,Produto P000248,Frios & Laticínios,Queijos,EcoVida,12.47,20.37,True,2024-07-24
P000249,Produto P000249,Higiene,Desodorantes,Prime+,5.49,9.15,True,2024-03-26
P000250,Produto P000250,Mercearia,Café/Chá,Acme,4.19,5.96,True,2024-08-14
P000251,Produto P000251,Limpeza,Desinfetantes,SulMax,15.39,21.51,True,2024-04-17
P000252,Produto P000252,Frios & Laticínios,Manteiga,Nordic,6.11,9.43,False,2022-03-05
P000253,Produto P000253,Mercearia,Molhos,RioDoce,8.41,14.95,True,2022-05-15
P000254,Produto P000254,Higiene,Pasta de dente,SulMax,4.27,6.22,True,2022-03-16
P000255,Produto P000255,Higiene,Fraldas,ValeVerde,8.14,12.12,True,2024-09-06
P000256,Produto P000256,Limpeza,Esponjas,SulMax,26.18,42.98,True,2024-12-20
P000257,Produto P000257,Mercearia,Massas,Prime+,14.63,20.15,True,2024-02-06
P000258,Produto P000258,Frios & Laticínios,Requeijão,Acme,9.43,14.13,True,2023-11-23
P000259,Produto P000259,Bebidas,Sucos,Prime+,9.76,13.58,True,2024-01-15
P000260,Produto P000260,Mercearia,Snacks,Prime+,11.27,18.7,True,2023-08-08
P000261,Produto P000261,Mercearia,Molhos,SulMax,4.0,5.63,False,2025-02-22
P000262,Produto P000262,Bebidas,Refrigerantes,SulMax,11.67,20.31,True,2025-01-29
P000263,Produto P000263,Bebidas,Energéticos,EcoVida,13.74,22.86,True,2024-01-25
P000264,Produto P000264,Frios & Laticínios,Leite,Nordic,3.87,5.66,True,2025-06-17
P000265,Produto P000265,Higiene,Fraldas,TopBrasil,11.28,17.71,True,2022-11-14
P000266,Produto P000266,Bebidas,Energéticos,SulMax,12.37,16.3,True,2024-10-31
P000267,Produto P000267,Mercearia,Molhos,Nordic,9.95,15.76,True,2025-06-23
P000268,Produto P000268,Mercearia,Café/Chá,TopBrasil,11.93,15.73,True,2024-10-23
P000269,Produto P000269,Limpeza,Detergentes,Nordic,14.15,23.5,True,2022-09-22
P000270,Produto P000270,Bebidas,Águas,Acme,14.72,19.2,True,2025-04-27
P000271,Produto P000271,Mercearia,Snacks,Acme,11.9,15.06,True,2023-02-01
P000272,Produto P000272,Bebidas,Refrigerantes,TopBrasil,10.19,17.65,True,2024-10-31
P000273,Produto P000273,Higiene,Desodorantes,TopBrasil,7.84,14.0,True,2022-01-09
P000274,Produto P000274,Mercearia,Molhos,Prime+,12.58,19.44,True,2024-07-04
P000275,Produto P000275,Bebidas,Sucos,ValeVerde,8.63,12.35,True,2025-02-13
P000276,Produto P000276,Frios & Laticínios,Leite,Acme,10.17,17.11,True,2022-08-04
P000277,Produto P000277,Bebidas,Cervejas,RioDoce,13.76,23.63,True,2022-10-22
P000278,Produto P000278,Limpeza,Amaciantes,Prime+,9.75,13.8,True,2024-10-31
P000279,Produto P000279,Higiene,Desodorantes,Acme,5.08,6.94,True,2024-01-17
P000280,Produto P000280,Frios & Laticínios,Iogurtes,SulMax,4.3,6.42,True,2023-02-24
P000281,Produto P000281,Frios & Laticínios,Iogurtes,RioDoce,3.82,5.32,True,2024-12-27
P000282,Produto P000282,Higiene,Pasta de dente,Acme,11.45,14.87,True,2024-05-09
P000283,Produto P000283,Bebidas,Cervejas,TopBrasil,6.1,8.94,True,2024-05-20
P000284,Produto P000284,Bebidas,Energéticos,SulMax,9.89,13.73,True,2023-06-02
P000285,Produto P000285,Frios & Laticínios,Queijos,TopBrasil,11.47,20.06,True,2023-05-19
P000286,Produto P000286,Bebidas,Cervejas,TopBrasil,10.92,15.45,True,2023-07-15
P000287,Produto P000287,Frios & Laticínios,Iogurtes,Nordic,2.66,4.77,True,2023-06-06
P000288,Produto P000288,Frios & Laticínios,Iogurtes,ValeVerde,5.03,8.46,True,2022-11-19
P000289,Produto P000289,Limpeza,Detergentes,ValeVerde,4.34,5.57,True,2024-09-03
P000290,Produto P000290,Higiene,Sabonetes,RioDoce,5.98,8.49,True,2025-05-02
P000291,Produto P000291,Limpeza,Lava-roupas,Prime+,14.98,19.35,True,2022-08-09
P000292,Produto P000292,Frios & Laticínios,Leite,RioDoce,4.73,8.19,True,2023-04-05
P000293,Produto P000293,Frios & Laticínios,Iogurtes,SulMax,14.97,19.9,True,2022-01-15
P000294,Produto P000294,Higiene,Shampoo,RioDoce,19.75,25.67,True,2022-07-05
P000295,Produto P000295,Frios & Laticínios,Requeijão,Acme,9.03,13.65,False,2023-12-04
P000296,Produto P000296,Bebidas,Sucos,SulMax,5.93,10.09,True,2025-07-01
P000297,Produto P000297,Bebidas,Águas,TopBrasil,7.99,10.02,True,2025-06-22
P000298,Produto P000298,Bebidas,Cervejas,Acme,12.49,19.81,True,2022-05-17
P000299,Produto P000299,Bebidas,Sucos,Nordic,4.82,7.44,True,2024-04-01
P000300,Produto P000300,Limpeza,Desinfetantes,SulMax,11.0,15.53,True,2022-07-12
